alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,num_auto,num_moto,num_bici,num_radio,num_tvd,num_licua,num_micro,num_refri,num_estuf,num_lavad,num_planc,num_venti,num_compu,num_impre,num_juego,ing_tri
7,7,7,7,4,4,4,7,3,3,7,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,6749.99
7,0,1,3,0,2,0,5,3,2,7,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,10394
7,1,7,7,7,7,0,3,2,7,7,0,0,1,2,1,1,1,1,1,2,1,1,1,0,0,31793.47
7,2,4,4,7,1,7,2,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,48423.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,17608.69
7,2,7,7,2,3,2,7,7,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,32353.03
7,3,7,7,7,7,1,7,7,7,7,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,66619.56
7,2,5,7,3,5,0,7,7,7,7,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,14722.81
7,0,7,5,7,2,0,3,7,7,7,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,3423.91
7,2,3,7,3,3,0,6,7,7,5,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,13859.98
7,2,2,5,7,7,2,7,3,7,7,1,0,0,1,3,1,1,1,1,1,1,3,1,1,0,120815.19
7,1,7,7,4,7,0,5,7,7,7,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,17021.73
7,3,3,7,4,7,0,7,7,7,7,1,0,1,1,0,2,1,1,1,2,2,2,0,0,0,37663.03
7,3,5,7,3,7,1,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,31377.69
7,3,7,7,3,4,0,7,7,7,7,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,99782.6
7,2,2,5,0,7,0,7,7,7,7,1,0,0,0,2,1,1,1,1,1,1,1,0,0,1,15485.86
7,1,7,7,3,2,1,7,0,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,9557.6
7,1,4,7,6,3,1,2,7,7,7,0,0,0,2,1,1,1,1,1,1,2,5,1,1,0,29347.82
7,1,5,7,5,2,2,5,7,7,5,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,79434.76
7,4,3,4,7,4,0,4,6,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,33749.98
7,7,7,7,3,2,4,5,7,7,7,0,0,0,2,0,2,1,1,1,1,1,1,0,0,0,22304.33
7,1,4,2,5,0,0,2,2,5,7,0,0,1,1,1,1,1,1,1,1,1,2,1,1,0,7434.78
7,4,7,7,4,4,3,7,7,7,7,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,21717.38
7,0,7,7,3,0,0,4,7,7,7,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,14595.65
7,2,3,7,4,7,0,7,7,7,7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,24634.55
7,2,0,3,3,3,0,7,5,7,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,37139.62
7,6,0,0,0,7,0,6,0,7,7,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,23606.54
